probInfected:1.0E-4,probVaccine:3.0E-4,transmissionEffect:0.5,sexOverVaccine:3,sexOverInfection:3,vaccineOverInfection:3,promiscuityPopulation:0.01,numPatients:1000
step,agent,sex,treatment,outcome,count_infected,cumulative_distance
0,Patient_0,false,false,false,0,0.0
0,Patient_1,true,false,false,0,0.0
0,Patient_2,true,false,false,0,0.0
0,Patient_3,true,false,false,0,0.0
0,Patient_4,true,false,false,0,0.0
0,Patient_5,true,false,false,0,0.0
0,Patient_6,false,false,false,0,0.0
0,Patient_7,false,false,false,0,0.0
0,Patient_8,false,false,false,0,0.0
0,Patient_9,true,false,false,0,0.0
0,Patient_10,false,false,false,0,0.0
0,Patient_11,false,false,false,0,0.0
0,Patient_12,false,false,false,0,0.0
0,Patient_13,true,false,false,0,0.0
0,Patient_14,true,false,false,0,0.0
0,Patient_15,false,false,false,0,0.0
0,Patient_16,true,false,false,0,0.0
0,Patient_17,true,false,false,0,0.0
0,Patient_18,true,false,false,0,0.0
0,Patient_19,false,false,false,0,0.0
0,Patient_20,false,false,false,0,0.0
0,Patient_21,true,false,false,0,0.0
0,Patient_22,true,false,false,0,0.0
0,Patient_23,true,false,false,0,0.0
0,Patient_24,true,false,false,0,0.0
0,Patient_25,false,false,false,0,0.0
0,Patient_26,true,false,false,0,0.0
0,Patient_27,false,false,false,0,0.0
0,Patient_28,true,false,false,0,0.0
0,Patient_29,true,false,false,0,0.0
0,Patient_30,false,false,false,0,0.0
0,Patient_31,false,false,false,0,0.0
0,Patient_32,false,false,false,0,0.0
0,Patient_33,false,false,false,0,0.0
0,Patient_34,true,false,false,0,0.0
0,Patient_35,false,false,false,0,0.0
0,Patient_36,false,false,false,0,0.0
0,Patient_37,false,false,false,0,0.0
0,Patient_38,false,false,false,0,0.0
0,Patient_39,false,false,false,0,0.0
0,Patient_40,false,false,false,0,0.0
0,Patient_41,true,false,false,0,0.0
0,Patient_42,true,false,false,0,0.0
0,Patient_43,true,false,false,0,0.0
0,Patient_44,false,false,false,0,0.0
0,Patient_45,true,false,false,0,0.0
0,Patient_46,true,false,false,0,0.0
0,Patient_47,true,false,false,0,0.0
0,Patient_48,false,false,false,0,0.0
0,Patient_49,false,false,false,0,0.0
0,Patient_50,true,false,false,0,0.0
0,Patient_51,false,false,false,0,0.0
0,Patient_52,false,false,false,0,0.0
0,Patient_53,false,false,false,0,0.0
0,Patient_54,true,false,false,0,0.0
0,Patient_55,true,false,false,0,0.0
0,Patient_56,true,false,false,0,0.0
0,Patient_57,true,false,false,0,0.0
0,Patient_58,true,false,false,0,0.0
0,Patient_59,true,false,false,0,0.0
0,Patient_60,false,false,false,0,0.0
0,Patient_61,false,false,false,0,0.0
0,Patient_62,true,false,false,0,0.0
0,Patient_63,false,false,false,0,0.0
0,Patient_64,true,false,false,0,0.0
0,Patient_65,false,false,false,0,0.0
0,Patient_66,true,false,false,0,0.0
0,Patient_67,false,false,false,0,0.0
0,Patient_68,true,false,false,0,0.0
0,Patient_69,true,false,false,0,0.0
0,Patient_70,true,false,false,0,0.0
0,Patient_71,false,false,false,0,0.0
0,Patient_72,true,false,false,0,0.0
0,Patient_73,true,false,false,0,0.0
0,Patient_74,true,false,false,0,0.0
0,Patient_75,true,false,false,0,0.0
0,Patient_76,true,false,false,0,0.0
0,Patient_77,false,false,false,0,0.0
0,Patient_78,false,false,false,0,0.0
0,Patient_79,true,false,false,0,0.0
0,Patient_80,false,false,false,0,0.0
0,Patient_81,true,false,false,0,0.0
0,Patient_82,true,false,false,0,0.0
0,Patient_83,true,false,false,0,0.0
0,Patient_84,false,false,false,0,0.0
0,Patient_85,true,false,false,0,0.0
0,Patient_86,true,false,false,0,0.0
0,Patient_87,false,false,false,0,0.0
0,Patient_88,true,false,false,0,0.0
0,Patient_89,true,false,false,0,0.0
0,Patient_90,true,false,false,0,0.0
0,Patient_91,false,false,false,0,0.0
0,Patient_92,true,false,false,0,0.0
0,Patient_93,false,false,false,0,0.0
0,Patient_94,true,false,false,0,0.0
0,Patient_95,true,false,false,0,0.0
0,Patient_96,false,false,false,0,0.0
0,Patient_97,false,false,false,0,0.0
0,Patient_98,false,false,false,0,0.0
0,Patient_99,true,false,false,0,0.0
0,Patient_100,false,false,false,0,0.0
0,Patient_101,false,false,false,0,0.0
0,Patient_102,false,false,false,0,0.0
0,Patient_103,false,false,false,0,0.0
0,Patient_104,true,false,false,0,0.0
0,Patient_105,true,false,false,0,0.0
0,Patient_106,true,false,false,0,0.0
0,Patient_107,true,false,false,0,0.0
0,Patient_108,true,false,false,0,0.0
0,Patient_109,true,false,false,0,0.0
0,Patient_110,false,false,false,0,0.0
0,Patient_111,false,false,false,0,0.0
0,Patient_112,false,false,false,0,0.0
0,Patient_113,false,false,false,0,0.0
